Email,Name,Phone Number,Domain
alice.smith@service.biz,Alice Smith,+1-527-371-6669,service.biz
bob.johnson@example.com,Bob Johnson,+1-463-766-9646,example.com
charlie.brown@testmail.org,Charlie Brown,+1-856-606-3771,testmail.org
diana.prince@mockdata.net,Diana Prince,+1-159-571-6188,mockdata.net
ethan.hunt@webmail.io,Ethan Hunt,+1-706-756-3860,webmail.io
fiona.gallagher@testmail.org,Fiona Gallagher,+1-886-401-9925,testmail.org
george.miller@webmail.io,George Miller,+1-217-186-3093,webmail.io
hannah.abbott@testmail.org,Hannah Abbott,+1-799-337-3195,testmail.org
ian.wright@testmail.org,Ian Wright,+1-536-291-7567,testmail.org
julia.roberts@webmail.io,Julia Roberts,+1-940-968-6927,webmail.io
